name,id
Afterglow,12560
Alice Cocktail,12562
Aloha Fruit punch,12862
Apello,15106
Apple Berry Smoothie,12710
Apple Karate,12564
Banana Cantaloupe Smoothie,12708
Banana Milk Shake,12654
Banana Strawberry Shake,12656
Banana Strawberry Shake Daiquiri,12658
Bora Bora,12572
Castillian Hot Chocolate,12730
Chocolate Beverage,12732
Chocolate Drink,12734
Coke and Drops,17108
Cranberry Punch,12890
Drinking Chocolate,12736
Egg Cream,12668
Frappé,12768
Fruit Cooler,12670
Fruit Flip-Flop,12672
Fruit Shake,12674
Grape lemon pineapple Smoothie,12712
Holloween Punch,12954
Hot Chocolate to Die for,12738
Iced Coffee,12770
Ipamena,17176
Just a Moonmint,12688
Kill the cold Smoothie,12720
Kiwi Papaya Smoothie,12714
Lassi - A South Indian Drink,12690
Lassi - Mango,12698
Lassi - Sweet,12696
Lassi Khara,12692
Lassi Raita,12694
Lemouroudji,12702
Limeade,12704
Mango Orange Smoothie,12716
Masala Chai,12774
Melya,12776
Microwave Hot Cocoa,12744
Nuked Hot Chocolate,12746
Orange Scented Hot Chocolate,12748
Orangeade,12618
Pineapple Gingerale Smoothie,12718
Pysch Vitamin Light,15092
Rail Splitter,12630
Spanish chocolate,12750
Spiced Peach Punch,13032
Spiking coffee,12780
Strawberry Lemonade,13036
Strawberry Shivers,12722
Sweet Bananas,12724
Thai Coffee,12782
Thai Iced Coffee,12784
Thai Iced Tea,12786
Tomato Tang,12726
Yoghurt Cooler,12728
